Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
YX15261T,0,0.0104442914798649,0.0114478088289864,0.0248486333235166,0,0.352412102973149,0,0.0185818995752157,0.0159762566229595,0,0,0.0243011430964575,0,0.379525221179421,0.0186449783569655,0.066863040958755,0,0,0,0.0769546236047098,0,0,0,0.101308345918609,1.07539263627705
YX15263T,0,0.0294876778978718,0.03986430894538,0.00816374955024448,0,0.393384098377511,0,0,0,0,0.0364631335535171,0.00447130041735369,0.0193555634469299,0.135424607310974,0.0463521414097658,0.246222699948998,0,0.0143599410892791,0.0189483223633559,0,0.00275634099754896,0.00474611469127095,0,0.0222895831465973,1.0795050878006
YX15271T,0,0.0571094292490463,0.0485593633830755,0.129462739755263,0,0.342987399137877,0,0,0,0,0,0.0249681367679719,0.0437666724950981,0,0.0542061172147024,0.225995169982066,0,0,0.0705097182805505,0,0,0.00243525373434898,0,0.212108446954863,1.00038698346862
YX16036T,0,0.0793894814181631,0.114539454428438,0.0450057501089033,0,0.224863911151195,0,0,0,0,0,0.028193178565733,0.0694397927719778,0.0399464408694832,0,0.200458879886546,0.00242056575467593,0.079164754136082,0.116577790908802,0,0,0,0,0.323427760897578,0.947947763115549
YX16041T,0.0537943988938173,0,0.112555690668847,0.000425072383013224,0,0.270512947932768,0,0,0,0,0.0402126009463091,0,0.0564443529115376,0.0529636454404502,0.0282686116124818,0.320894849039831,0,0.0271371527559528,0.0367906774149911,0,0,0,0,0.271039567657209,0.971793407367552
YX16057T,0,0.0540576076146635,0.017608694728934,0.0259613504465718,0,0.255008884451997,0.0105690686399737,0,0,0,0.0709471572332591,0,0.0490232009563171,0.158054317580485,0.037807220532853,0.168834090961212,0.0049920345846653,0.0332958866307513,0.0491991481147922,0,0,0.0646413375235261,0,0.136935156033972,1.02455966495061
YX16062T,0.0256327538947025,0.0567179850347562,0.116277140062584,0.0257660295857197,0,0.231532823929418,0.00450982165961404,0.00509754266020233,0,0,0.0561506703228438,0,0.0257639802507515,0.0925775465841231,0.0131461870608387,0.265750284382006,0,0,0.0810772345724407,0,0,0,0,0.285670469429552,0.965573619026761
YX16112T,0,0.0844063810696408,0.0573914315208369,0.0230541024001464,0,0.318012334274902,0.0119368127488937,0,0,0,0.0304080619752779,0,0.0472762978887037,0.147569187311518,0.0429696023755012,0.22482716262417,0,0,0.0118187831755121,0,0.00032984263489706,0,0,0.23181759780964,0.98991264759727
YX16113T,0.32410160424005,0,0.0835392822177592,0.0510885460541559,0,0.224398930948588,0,0,0,0,0.0383894664571334,0,0.0325199532486385,0.00654485264848354,0.010456370507364,0.203918189105211,0,0.0114746183616535,0.0135681862109625,0,0,0,0,0.364321553875662,0.941260305632705
YX16119T,0.074626043855948,0.00671775277111087,0.0458288295163614,0.0608344984773154,0,0.142389734089777,0,0.0351333524741018,0,0,0.054419679815897,0,0.097553320915245,0.15935664344472,0.0360307353307797,0.207294423575871,0,0,0.0798149857328725,0,0,0,0,0.192082801979279,1.00102306975646
