Samples	Subtype
YX15047T	Basal
YX16160T	Basal
YX16202T	Basal
YX16327T	Basal
YX16079T	Basal
YX16094T	Basal
YX16070T	Basal
YX16011T	Basal
YX16068T	Basal
YX15187T	Basal
YX16295T	Basal
YX15106T	Basal
YX15214T	Basal
YX15166T	Basal
YX16087T	Basal
YX16172T	Basal
YX16341T	Basal
YX16036T	Hybrid
YX16155T	Hybrid
YX16130T	Hybrid
YX16343T	Hybrid
YX16180T	Hybrid
YX16203T	Hybrid
YX16159T	Hybrid
YX16194T	Hybrid
YX16161T	Hybrid
YX16207T	Hybrid
YX15271T	Hybrid
YX16135T	Hybrid
YX16218T	Hybrid
YX16224T	Hybrid
YX16141T	Hybrid
YX16113T	Hybrid
YX15211T	Hybrid
YX16075T	Hybrid
YX16144T	Hybrid
YX16158T	Hybrid
YX16188T	Hybrid
YX16132T	Hybrid
YX16009T	Hybrid
YX16119T	Classical
YX16041T	Classical
YX16227T	Classical
YX16112T	Classical
YX16153T	Classical
YX16222T	Classical
YX16177T	Classical
YX16335T	Classical
YX16127T	Classical
YX16120T	Classical
YX16166T	Classical
YX15263T	Classical
YX16062T	Classical
YX15261T	Classical
YX16178T	Classical
YX16236T	Classical
YX16139T	Classical
YX16185T	Classical
YX16347T	Classical
YX16057T	Classical
YX16128T	Classical
YX16147T	Classical
